"key","message","comment","context"
"App Reportserver",,,
"Please select users","Sélection utilisateurs",,
"Project Planning",,,
"Report server",,,
"Report server url",,,
"Reporting",,,
"Reportserver",,,
"Select users",,,
"TimeLine",,,
"Timeline",,,
"Users",,,
