"key","message","comment","context"
"All",,,
"Are you sure you want to unplan it?",,,
"BoM",,,
"Canceled",,,
"Change duration",,,
"Day",,,
"Draft",,,
"End",,,
"Filter by manuf order number",,,
"Filter by work center group",,,
"Filter on",,,
"Finished",,,
"Freeze",,,
"From",,,
"In progress",,,
"Left",,,
"Minute",,,
"Modify duration",,,
"Month",,,
"Name",,,
"Operations",,,
"Operations order to plan",,,
"Outsourcing",,,
"Plan all",,,
"Planned",,,
"Planned duration(min)",,,
"Planned operations",,,
"Planning per machine",,,
"Priority",,,
"Prod. Process",,,
"Production order(s)",,,
"Quantity",,,
"Real duration(min)",,,
"Reason",,,
"Refresh",,,
"Right",,,
"Sale order(s)",,,
"Section",,,
"Standby",,,
"Start",,,
"Status",,,
"Unfreeze",,,
"Unplan",,,
"The reason is mandatory",,,
"To",,,
"Today",,,
"Validate",,,
"Warning ! The machine is under maintenance during this period.",,,
"Warning ! The work center on the machine is not set.",,,
"Warning ! We cannot find any machine with this stock location, or any machine that has a work center set.",,,
"Warning ! We cannot find any machine with this type of machine, or any machine that has a work center set.",,,
"Warning! You are about to drop an operation outside of the activity schedule of the machine.",,,
"Warning! You are about to reschedule an operation during a previous operation.",,,
"Warning! You are about to reschedule an operation with an unauthorized machine.",,,
"Week",,,
"Year",,,
